ano,uf,centil,quantidade_de_contribuintes,rendimentos_tributaveis_limite_superior_da_rtb_do_centil_r_milhoes,rtb_soma_centil,rendimentos_tributaveis_rtb_acumulada_do_centil_r_milhoes,rendimentos_tributaveis_media_da_rtb_do_centil_r,rendimentos_sujeitos_a_tribut_exclusiva_r_milhoes,rendimentos_isentos_lucros_e_dividendos_r_milhoes,rendimentos_isentos_rendim_socio_titular_me_epp_opt_simples_r_milhoes,rendimentos_isentos_outros_rendimentos_isentos_r_milhoes,despesas_dedutiveis_previdencia_r_milhoes,despesas_dedutiveis_dependentes_r_milhoes,despesas_dedutiveis_instrucao_r_milhoes,despesas_dedutiveis_medicas_r_milhoes,despesas_dedutiveis_pensao_alimenticia_r_milhoes,despesas_dedutiveis_livro_caixa_r_milhoes,imposto_devido_r_milhoes,bens_imoveis,bens_e_direitos_moveis_r_milhoes,bens_e_direitos_financeiros_r_milhoes,bens_e_direitos_outros_bens_e_direitos_r_milhoes,dividas_onus,cluster
2020,BA,40.0,12.245,"31.899,36",38653.0,"7.701,80","31.566,12",38.94,41.38,16.87,72.11,12.14,11.07,5.23,17.59,1.34,0.17,1.59,37307.0,91.81,428.57,14.98,6506.0,2
2020,SC,25.0,14.819,"27.337,08",39987.0,"5.150,31","26.983,64",75.07,133.99,79.87,146.41,3.4,3.14,0.95,3.78,0.28,0.08,0.02,1445.16,375.91,"1.204,06",78.81,2378.0,0
2020,PE,19.0,8.286,"18.004,63",14696.0,"1.037,14","17.736,39",18.14,57.37,25.16,62.75,2.33,2.22,0.8,4.37,0.36,0.04,0.0,26879.0,71.47,725.68,24.61,5372.0,0
2020,RS,21.0,22.385,"21.770,60",47772.0,"4.543,61","21.340,98",100.21,143.33,98.9,343.1,6.35,3.8,0.95,6.27,1.05,0.17,0.0,2077.81,490.48,"1.612,55",84.17,42182.0,1
2020,SE,32.0,2.177,"30.248,18",653.0,"1.115,72","29.994,63",5.72,6.78,5.14,10.72,1.46,1.27,0.67,2.57,0.22,0.04,0.14,9667.0,24.81,70.11,2.41,1335.0,0
2020,MG,21.0,29.971,"20.669,43",60341.0,"5.527,03","20.133,20",90.02,163.85,100.98,447.76,10.02,8.32,1.78,13.7,1.4,0.22,0.02,2582.6,522.59,"2.161,47",79.86,40093.0,1
2020,RR,33.0,667.0,"34.964,76",2314.0,405.06,"34.692,49",2.08,0.9,0.22,3.36,0.62,0.61,0.16,0.63,0.08,0.01,0.2,1298.0,3.71,6.42,0.52,118.0,0
2020,TO,25.0,1.688,"24.480,00",4063.0,494.14,"24.072,33",4.99,16.01,4.84,18.13,0.77,0.5,0.09,0.34,0.05,,0.0,20533.0,32.2,127.75,11.71,5211.0,0
2020,MS,15.0,4.453,"15.675,00",6665.0,355.37,"14.966,84",7.21,23.3,18.11,55.01,1.02,1.18,0.23,1.09,0.09,0.03,,40138.0,81.05,298.77,12.73,4859.0,2
2020,TO,26.0,1.688,"25.164,48",4202.0,536.17,"24.896,32",2.85,22.79,10.18,10.19,0.84,0.52,0.11,0.37,0.04,0.01,0.0,1851.0,37.67,103.44,14.44,2433.0,0
2020,MA,29.0,4.22,"27.581,24",11464.0,"1.610,45","27.166,07",8.93,31.85,7.02,22.37,1.48,1.57,0.52,1.81,0.06,0.01,0.01,12224.0,28.12,230.42,15.77,1293.0,0
2020,PE,50.0,8.286,"40.770,47",3342.0,"8.703,36","40.333,37",33.24,27.42,12.06,46.11,12.78,9.24,6.03,19.93,1.43,0.22,4.56,28274.0,72.47,624.76,11.82,7746.0,0
2020,RJ,17.0,30.746,"15.553,75",45558.0,"2.651,53","14.817,63",155.99,252.59,121.09,626.75,10.48,9.11,2.78,20.72,1.52,0.19,0.01,2391.63,310.49,"3.955,24",136.74,32426.0,1
2020,DF,9.0,7.616,"4.980,00",2696.0,28.87,"3.539,45",26.28,86.95,43.95,169.71,1.01,1.49,0.26,1.3,0.12,0.01,0.0,73639.0,108.78,"4.687,44",40.87,12088.0,2
2020,RO,47.0,2.172,"37.260,52",8011.0,"2.106,52","36.883,35",5.3,6.12,1.94,17.52,2.45,2.35,0.68,2.88,0.29,0.13,0.9,13851.0,32.34,53.58,6.41,2709.0,0
2020,CE,23.0,7.039,"21.810,00",15108.0,"1.443,83","21.462,98",8.8,51.06,13.73,36.84,1.94,1.49,0.54,3.11,0.2,0.03,0.0,19931.0,58.3,216.31,11.9,2332.0,0
2020,AC,9.0,787.0,"12.000,00",794.0,13.46,"10.088,18",1.08,1.49,0.97,7.98,0.23,0.18,0.05,0.12,0.01,,,2837.0,5.98,19.07,0.92,23.0,0
2020,MG,45.0,29.971,"35.373,66",1051.14,"26.156,63","35.071,93",130.02,83.84,55.62,222.37,29.33,27.69,8.75,40.44,5.27,1.15,9.42,1857.92,405.14,"1.517,71",67.45,35016.0,3
2020,MT,21.0,5.716,"21.600,00",1219.0,"1.093,90","21.325,44",13.59,31.1,19.99,65.65,1.5,1.42,0.28,1.46,0.1,0.05,0.0,39886.0,103.44,311.31,96.51,10025.0,2
2020,MS,44.0,4.453,"34.800,00",1535.0,"3.782,63","34.470,05",13.7,17.38,7.48,31.93,4.65,4.57,1.29,4.8,0.58,0.12,1.27,24662.0,66.24,181.68,13.08,4188.0,0
2020,BRASIL,24.0,316.349,"23.400,00",7252.72,"77.546,06","22.926,32","1.182,58","2.240,82","1.427,82","3.802,37",120.42,81.19,22.16,160.26,13.49,2.97,0.24,26745.62,"5.052,38","25.908,28","1.617,72",4233.67,0
2020,SP,34.0,102.126,"29.299,98",2963.05,"50.620,91","29.013,63",432.72,380.61,264.49,807.61,59.02,62.76,16.2,101.63,13.08,1.13,2.4,7600.2,"1.314,69","6.624,42",374.48,1037.57,0
2020,GO,32.0,10.016,"27.473,68",27163.0,"4.345,20","27.119,41",25.4,51.98,34.22,110.56,2.93,3.32,0.77,3.54,0.24,0.04,0.01,1037.33,162.29,554.09,50.18,13688.0,0
2020,MS,35.0,4.453,"29.626,65",13064.0,"2.497,10","29.337,52",11.07,11.83,7.62,30.35,2.71,3.12,0.64,2.97,0.53,0.04,0.17,25274.0,60.99,142.93,10.72,356.0,0
2020,CE,10.0,7.039,"7.178,26",3803.0,59.5,"5.403,47",12.32,30.44,16.19,87.52,1.02,1.33,0.27,1.35,0.09,0.0,0.0,2278.0,63.77,342.65,16.37,3481.0,0
2020,RO,12.0,2.172,"12.540,00",272.0,100.17,"12.525,16",3.44,24.55,17.36,6.47,0.5,0.3,0.04,0.15,0.01,,,14434.0,39,170.25,12.65,227.0,0
2020,RS,8.0,22.385,"7.074,38",12301.0,190.91,"5.495,01",136.96,152.48,73.68,555.42,3.07,3.58,0.57,3.5,0.38,0.06,0.0,3576.33,455.19,"2.611,12",263.97,41809.0,3
2020,GO,44.0,10.016,"32.574,13",32348.0,"7.914,17","32.295,91",28.18,20.8,17.14,73.45,9.96,9.91,3.3,10.68,0.93,0.16,1.69,79068.0,121.5,336.57,25.98,921.0,2
2020,PR,38.0,20.782,"31.534,37",65016.0,"13.543,84","31.284,73",72,157.35,58.57,166.68,15.23,15.48,3.72,18.8,2.32,0.19,2.71,1529.01,368.25,"1.494,94",82.07,31017.0,1
2020,PE,20.0,8.286,"19.284,07",15481.0,"1.191,95","18.683,14",17.99,79.82,17.62,77.29,3.08,2.55,0.96,5.86,0.35,0.09,,28344.0,83.89,543.92,18.8,5236.0,0
2020,PA,19.0,6.375,"21.600,00",13626.0,"1.198,95","21.373,86",3.99,8.75,10.04,25.78,1.55,1.57,0.3,1.51,0.12,0.08,,27527.0,48.38,201.66,23.71,2778.0,0
2020,PE,45.0,8.286,"36.805,76",30194.0,"7.099,81","36.439,25",33.64,27.65,9.9,54.21,10.47,8.53,4.53,17.31,1.27,0.12,2.98,2161.0,68.45,349.21,18.18,5426.0,0
2020,PR,9.0,20.782,"7.650,00",12848.0,218.11,"6.182,43",194.15,218.01,114.57,481.74,2.66,4.67,0.7,4.4,0.31,0.04,0.01,2437.13,462.09,"3.280,07",153.82,54406.0,3
2020,MG,40.0,29.971,"32.493,07",96577.0,"21.074,84","32.223,51",131.51,140.66,53.51,242.05,25.0,25.36,6.99,32.93,4.24,0.67,5.16,1776.95,396.54,"1.480,69",141.6,25229.0,1
2020,SP,10.0,102.127,"7.629,60",64331.0,"1.214,81","6.299,14",926.88,"1.055,95",581.26,"2.588,07",14.42,26.38,4.06,27.81,2.21,0.15,0.02,11203.92,"1.824,96","18.427,36",688.95,1985.29,1
2020,AC,32.0,788.0,"34.231,53",2672.0,476.84,"33.904,43",1.77,0.97,0.2,3.92,0.61,0.61,0.2,0.72,0.09,,0.21,214.0,4.15,5.78,1.45,212.0,0
2020,SP,14.0,102.127,"12.534,00",1277.9,"5.755,66","12.512,86",704.99,"5.968,56","4.165,47","1.503,69",35.92,21.45,7.85,31.82,4.03,0.02,0.0,19636.28,"3.248,46","35.519,67","1.470,55",7359.07,0
